Batman Begins,"28,80,18"
Puella Magi Madoka Magica the Movie Part I: Beginnings,"53,16,14"
Sushi Girl,"53,80"
Citadel,"18,27,53"
100 Bloody Acres,"35,27"
Freaky Deaky,35
John Mulaney: New in Town,35
The Reef 2: High Tide,"16,10751"
Young & Wild,"35,18"
Angels of Sex,"10749,18"
Lesson of the Evil,"53,27"
Jan Dara: The Beginning,"18,10749"
The Four,"28,18,80"
Abraham Lincoln vs. Zombies,"27,28,53"
E Aí... Comeu?,35
High Road,35
Jack & Diane,"18,27,10749"
Outpost: Black Sun,"28,27"
Love at the Christmas Table,"35,10749,10770"
Student of the Year,"35,18,10402"
Clip,18
Stash House,"28,53"
Two Rabbits,"28,80,18"
Capital,18
Marina Abramović: The Artist Is Present,99
Rags,"10770,35,18"
Kiss of the Damned,"53,27,10749"
The Stroller Strategy,35
Loosies,"35,18,10749"
Dépression et des Potes,35
Jesse Stone: Benefit of the Doubt,"18,53,80,9648"
Dino Time,"16,12,35,10751"
Ai Weiwei: Never Sorry,99
Love Bite,"27,35"
Nazis at the Center of the Earth,"12,28,27,878,53"
Save the Date,"35,10749"
Offender,53
Interview with a Hitman,"28,53"
Neighboring Sounds,"53,18"
The Last Tycoon,"18,36"
Dabangg 2,"28,35"
Steve Jobs: The Lost Interview,99
Treasure Buddies,"12,10751"
The Girl,"10770,18"
Hirokin: The Last Samurai,"28,12,18,878"
"Niko 2 - Little Brother, Big Trouble","16,10751,12,35"
The Lookout,"28,80,9648"
Planet Ocean,99
Why Stop Now?,"35,18"
Motorway,"28,80"
Come Out and Play,27
Tim and Eric's Billion Dollar Movie,35
Not Fade Away,18
Playback,"27,53"
Under the Bed,27
A Mother's Nightmare,"10770,80,9648,53"
Lego Star Wars: The Empire Strikes Out,"878,16,28,10751,35"
Time Travel Mater,"10751,16"
You've Been Trumped,99
Sexting in Suburbia,"18,53,10770"
Gyo: Tokyo Fish Attack,"16,27"
Artifact,"99,10402"
The Invisible War,"80,18,36,99"
War Witch,"18,10752"
È nata una Star?,35
Belle du Seigneur,"18,10749"
For Greater Glory: The True Story of Cristiada,"36,18"
Sexual Tension: Volatile,18
Errors of the Human Body,"878,53,18"
G.B.H.,80
Room on the Broom,"10751,16"
Blue Exorcist: The Movie,"16,14,9648,27"
7 Boxes,"28,53"
Small Apartments,"35,80"
Measuring the World,18
Grimm's Snow White,14
Fresh Guacamole,16
Kirikou and the Men and Women,"14,16,10751,12"
The Central Park Five,99
Call Girl,"53,18"
Midnight's Children,18
Dungeons & Dragons: The Book of Vile Darkness,"12,14"
The Guardians,"18,28,53,80"
A Glimpse Inside the Mind of Charles Swan III,35
The Good Witch's Charm,"10770,10751,14"
It's a SpongeBob Christmas!,"10751,16,35"
The Philly Kid,"18,28"
Mental,"35,18"
I Am Bruce Lee,99
Freddie Mercury: The Great Pretender,"10402,99"
The Pervert's Guide to Ideology,99
Black & White: The Dawn of Assault,"35,28"
Ill Manors,"80,18"
Ghost Recon: Alpha,"28,878,53,10752"
40 Days and Nights,"28,878,12,53"
The Other Son,18
Dead Before Dawn 3D,"12,35,27"
London 2012 Olympic Opening Ceremony: Isles of Wonder,
Something from Nothing: The Art of Rap,99
Celebrity Sex Tape,35
Fortress,"28,10752"
Thor: The Dark World,"28,12,14"
Frozen,"16,12,10751"
Iron Man 3,"28,12,878"
Man of Steel,"28,12,14,878"
The Wolf of Wall Street,"80,18,35"
The Hobbit: The Desolation of Smaug,"12,14,28"
Despicable Me 2,"16,35,10751"
The Hunger Games: Catching Fire,"12,28,878"
The Purge,"878,27,53"
Adore,18
The Croods,"28,12,16,35,10751,14"
The Conjuring,"27,53"
Gravity,"878,53,18"
Now You See Me,"53,80"
Prisoners,"18,53,80"
Star Trek Into Darkness,"28,12,878"
R.I.P.D.,"14,28,35,80"
Oblivion,"28,878,12,9648"
Pacific Rim,"28,878,12"
Nymphomaniac: Vol. I,18
American Hustle,"18,80"
Monsters University,"16,10751"
Her,"10749,878,18"
Dragon Ball Z: Battle of Gods,"16,28"
Nymphomaniac: Vol. II,"18,9648"
The Heat,"28,35,80"
Neelakasham Pachakadal Chuvanna Bhoomi,"10749,53"
Riddick,"878,28,53"
The Butler,18
About Time,"35,18,878"
Don Jon,"10749,35,18"
Percy Jackson: Sea of Monsters,"12,10751,14"
Ender's Game,"878,28,12"
The Hangover Part III,35
After Earth,"878,28,12"
Dallas Buyers Club,"18,36"
G.I. Joe: Retaliation,"12,28,878,53"
We're the Millers,"35,80"
The Great Gatsby,"18,10749"
The Spectacular Now,"35,18,10749"
12 Years a Slave,"18,36"
This Is the End,"28,35"
A Good Day to Die Hard,"28,53"
The Keeper of Lost Causes,"53,9648,80"
47 Ronin,"18,28,12,14"
Belle and Sebastian,12
Elysium,"878,28,18,53"
The Counselor,"53,80,18"
2 Guns,"28,35,80"
Oz the Great and Powerful,"14,12,10751"
Blue Jasmine,"35,18"
World War Z,"28,18,27,878,53"
The World's End,"35,28,878"
The Place Beyond the Pines,"18,80"
Captain Phillips,"28,18,53"
Lone Survivor,"28,18,53,10752"
Movie 43,35
The Smurfs 2,"14,10751,35,16"
Cloudy with a Chance of Meatballs 2,"16,10751,35"
Hansel & Gretel: Witch Hunters,"14,27,28"
Jack the Giant Slayer,"28,12,10751,14"
Olympus Has Fallen,"28,53"
Odd Thomas,"9648,53"
Texas Chainsaw 3D,"27,53"
Snowpiercer,"28,878,18"
Saving Mr. Banks,"35,18,36"
Rush,"18,28"
Pain & Gain,"53,80,28,35"
Epic,"16,12,10751,14"
The Great Beauty,"35,18"
Turbo,"16,10751"
Anchorman 2: The Legend Continues,35
I Spit on Your Grave 2,"53,27,80"
Suck Me Shakespeer,35
Kick-Ass 2,"28,12,80"
The Lone Ranger,"28,12,37"
Enemy,"53,9648"
Evil Dead,27
Escape Plan,"28,53"
The Family,"80,35,28"
Homefront,"28,53"
Begin Again,"35,10402,10749,18"
The Secret Life of Walter Mitty,"12,35,18,14"
Spring Breakers,"18,80"
Identity Thief,"35,80"
Carrie,"18,27"
Curse of Chucky,"27,53"
Something in the Way,18
White House Down,"28,18,53"
Beautiful Creatures,"14,18,10749"
Young Detective Dee: Rise of the Sea Dragon,"28,80,14,12"
Insidious: Chapter 2,"27,53"
Broken City,"53,80,18"
The Physician,"12,18,36"
Scary Movie 5,35
The Mortal Instruments: City of Bones,"28,12,18,9648,10749,14"
Inside Llewyn Davis,18
RED 2,"28,35,80,53"
Planes,"16,10751,12,35"
The Last Stand,"28,80,53"
August: Osage County,"35,18"
Life of Crime,"35,80"
The Way Way Back,"35,18"
Oldboy,"18,53,9648,28"
Haunter,"27,9648,53"
Bullet to the Head,"28,80,53"
Warm Bodies,"27,35,10749"
Mud,18
Marvel One-Shot: Agent Carter,"28,12,878,14"
Side Effects,"53,80,18"
"Batman: The Dark Knight Returns, Part 2","28,16,9648"
Grown Ups 2,35
Nurse 3-D,"27,53"
The Wind Rises,16
Justice League: The Flashpoint Paradox,"14,878,16,28,12"
Sole a catinelle,35
The Frozen Ground,"53,80"
Doctor Who: The Day of the Doctor,"878,12"
The Host,"28,12,10749,878,53"
Hummingbird,"28,53"
Are You Here,35
Coherence,"53,878"
Mama,27
Steins;Gate: The Movie − Load Region of Déjà Vu,"878,16,18"
Out of the Furnace,"53,18,80"
The Kings of Summer,"35,18"
Death Race: Inferno,"28,878,53"
Snitch,"53,18"
The Best Offer,"18,10749,80,9648"
Windstorm,"12,10751"
Space Pirate Captain Harlock,"16,878"
Only God Forgives,"18,53,80"
Getaway,"28,80"
Gloria,"35,18"
The Dyatlov Pass Incident,"53,9648"
Breathe In,18
Runner Runner,"80,53,18"
The Zero Theorem,"18,14,878"
Thunder and the House of Magic,"10751,14,16,12"
Sharknado,"878,10770,28,12,35"
Stoker,"18,27,53"
Free Birds,"16,35,10751"
The Book Thief,18
The Big Wedding,35
Trance,"53,80,18,9648"
Ida,18
The Garden of Words,"16,18,10749"
The English Teacher,"35,18,10749"
The Tale of the Princess Kaguya,"16,18,14"
Machete Kills,"28,80,53"
Bad Words,35
The East,"18,53"
The Bling Ring,"18,80"
Last Vegas,35
Filth,"80,18,35"
The Fifth Estate,"18,53"
Young & Beautiful,18
Ruby Red,"14,12,10751,18,878"
An American Girl: Saige Paints the Sky,10751
Barbie in the Pink Shoes,"16,10751"
Man of Tai Chi,"28,18"
The Grandmaster,"28,18,36"
Safe Haven,10749
Before Midnight,"10749,18"
Minuscule: Valley of the Lost Ants,"16,12,10751"
Frances Ha,"35,18"
Third Person,"18,10749"
The Art of the Steal,"35,80"
Europa Report,"878,53"
The Call,"80,53"
Belle,18
Dead Man Down,"53,28,80,18"
3096 Days,"80,18"
Young Mother,"35,10749"
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,"12,35,18"
The Past,"18,9648"
Escape from Planet Earth,"16,35,12,10751,878"
Tarzan,"16,28,12,10751"
Parker,"28,80"
The Railway Man,"18,36"
Only Lovers Left Alive,"18,10749"
Empire State,"28,18"
The Immigrant,"18,10749"
Killing Season,"28,53"
Baggage Claim,35
Dark Skies,"878,53,27"
Labor Day,18
42,18
Wolf Creek 2,"27,53"
We Are What We Are,"18,27,53"
Berserk: The Golden Age Arc 3 - The Advent,"28,12,18,14,16"
Charlie Countryman,"28,35,18,10749,53"
Short Term 12,18
A Haunted House,"35,27"
Welcome to the Punch,"28,12,80"
Grudge Match,35
Austenland,"35,10749"
Gangster Squad,"80,18,28,53"
Blackfish,99
Kill Your Darlings,"18,10749,53"
The Trials of Cate McCall,18
Walking with Dinosaurs,"16,10751,12"
Jimi: All Is by My Side,"18,10402"
The Last Exorcism Part II,"27,53,18"
Stand Up Guys,"53,35,28"
Jack and the Cuckoo-Clock Heart,"16,10749,12,18,14"
21 & Over,35
All Is Lost,"28,12,18"
Love and Honor,"18,10749,10752"
Instructions Not Included,"35,18"
Journey to the West: Conquering the Demons,"28,14,12,35"
Free Fall,"18,10749"
Madly Madagascar,"16,35,10751"
The Love Punch,35
Delivery Man,35
Coldwater,"53,18"
In Secret,"18,53,80"
Philomena,18
Hours,"18,53"
The Reluctant Fundamentalist,53
Alan Partridge: Alpha Papa,"80,35,28"
Zulu,"80,18,53"
Gimme Shelter,18
The Haunting in Connecticut 2: Ghosts of Georgia,"27,18,53"
Jobs,"18,36"
Krrish 3,"28,878"
Assault on Wall Street,"18,53,28"
Little Witch Academia,"28,16,35,14"
Vehicle 19,53
The Congress,"18,878,16"
All Cheerleaders Die,"27,53,35"
Adult World,35
Nebraska,"18,12"
Admission,"35,18,10749"
How I Live Now,"18,28,53,10752"
The Protector 2,28
Behind the Candelabra,"18,10749"
Grand Piano,"53,9648"
Puppy,"16,35,10751,878"
The Numbers Station,"28,53"
Cold Eyes,"80,28"
Justin and the Knights of Valour,"16,12"
Diana,"18,10749"
No One Lives,"27,53"
It Boy,35
Blue Ruin,"80,53"
Romeo & Juliet,"18,10749"
Dom Hemingway,"35,80,18"
Parkland,"36,18,53,9648"
A Single Shot,"18,80,53"
Horns,"53,27,18,14"
The Best Man Holiday,35
Paranoia,"18,53"
Venus in Fur,18
One Piece Episode of Nami: Tears of a Navigator and the Bonds of Friends,"28,16,18"
Minions: Training Wheels,"12,16,35,10751,878"
A Case of You,"35,10749"
Ain't Them Bodies Saints,"80,18,10749,37"
Big Ass Spider!,878
The To Do List,"35,10749"
The Incredible Burt Wonderstone,35
Mindscape,"53,18"
Words and Pictures,"35,18,10749"
New World,53
Patrick,"27,878,53"
Ninja: Shadow of a Tear,"28,80,53"
The Lifeguard,"18,35,10749"
Welcome to the Jungle,35
After the Dark,"18,14,878,53"
Jodorowsky's Dune,"99,18"
Bounty Killer,"28,878"
A.C.O.D.,35
Mr. Morgan's Last Love,"18,35"
What If,"18,35,10749"
Teen Beach Movie,"10751,10402,10770,35"
Chinese Puzzle,"35,18,10749"
V/H/S/2,"27,53"
The ABCs of Death,27
Love Lesson,"10749,18,35"
To the Wonder,"18,10749"
Police Story 2013,"28,80,18,53"
The Hunters,12
The Adventurer: The Curse of the Midas Box,"14,12,10751"
One Direction: This Is Us,"99,10402"
Tangerines,"18,10752"
Very Good Girls,18
Wrong Cops,"35,80,9648"
Khumba,"16,12,10751"
The 7th Floor,53
Lupin the Third vs. Detective Conan: The Movie,"28,80,9648,16"
12 Rounds 2: Reloaded,"28,12"
Aspirante vedovo,35
"Like Father, Like Son",18
Open Grave,"27,53,9648"
Hell Baby,"35,27"
Ghost in the Shell Arise - Border 1: Ghost Pain,"28,16,80,878"
Möbius,"18,53"
The Young and Prodigious T.S. Spivet,"12,18,10751"
Jackass Presents: Bad Grandpa,35
Lovelace,18
Flu,"28,18,878"
Blue Is the Warmest Color,"10749,18"
Underdogs,"16,12,10749"
20 Feet from Stardom,"99,10402"
Patema Inverted,"16,12,18,14,878"
My Mom Is a Character,35
Closed Circuit,"9648,18,80,53"
Metallica: Through the Never,10402
Battlestar Galactica: Blood & Chrome,"878,10770"
The Damned,"53,27,9648"
Indovina chi viene a Natale?,35
Afternoon Delight,"35,18"
Clear History,35
The Selfish Giant,18
The Wizards Return: Alex vs. Alex,"12,35,18"
Tom at the Farm,"18,53,9648"
Sweet Whip,"9648,53"
Dead in Tombstone,"37,28,14,27,18"
Plus One,"53,878"
"White as Milk, Red as Blood","18,35"
Miracle in Cell No. 7,"18,35"
Superman: Unbound,"16,28,12"
Barbie: Mariposa and The Fairy Princess,"16,10751,14"
I Give It a Year,"35,10749"
Boule & Bill,"35,10751"
Blood Ties,"53,80,18"
The Den,"27,53"
The Lunchbox,"18,10749"
Barbie: The Pearl Princess,"10751,16"
Fruitvale Station,18
What Maisie Knew,18
The Mafia Kills Only in Summer,"10749,35,80,18"
Upstream Color,"18,878,10749"
Knights of Badassdom,"12,14,27,35"
The Sacrament,"27,9648,53"
Battle of the Year,"10402,18"
Drinking Buddies,"10749,18"
Iron Man: Rise of Technovore,"878,16,28"
The Gilded Cage,35
In a World...,35
Amiche da morire,"10749,80,35"
The Marine 3: Homefront,28
Why Don't You Play in Hell?,"18,28,35"
Bad Milo,"35,27"
Contracted,"27,53"
Swindle,"12,35,10770"
Evidence,"27,53,9648"
The Last Days on Mars,"878,53,27"
The Colony,"28,878,27"
Schlussmacher,35
Stranger by the Lake,"18,53"
At Middleton,"10749,35"
Mandela: Long Walk to Freedom,"18,36"
Big Bad Wolves,"35,80"
Ragnarok,"28,12"
9 Month Stretch,35
Drift,18
Siberian Education,"18,80"
Hatchet III,"27,53,35,28"
Wetlands,"18,35"
Get a Horse!,"16,10751"
Crush,53
The Grand Seduction,35
Cold Comes the Night,"80,18,53"
The Truth About Emanuel,"18,53"
We Are The Nobles,35
Devil's Knot,"80,18,53"
"Me, Myself and Mum",35
Doctor Who: The Time of the Doctor,"18,878,10770"
Fading Gigolo,35
The Invisible Woman,"18,36,10749"
One Chance,"18,35,10402"
Paulette,"80,35"
Out of the Blue,35
Hammer of the Gods,"36,28,12"
The Canyons,"53,18"
11.6,"53,18"
The House at the End of Time,27
Fright Night 2: New Blood,"27,35"
Jappeloup,18
Stay Away from Me,"35,10749"
Rapture-Palooza,"35,14,27"
Phantom,53
Super Buddies,"10751,35"
A Field in England,"18,36,27,53"
Witching & Bitching,"35,27"
Prince Avalanche,"35,18"
Frankenstein's Army,"28,27"
A Touch of Sin,18
Starred Up,18
Age of Uprising: The Legend of Michael Kohlhaas,"18,36"
Kokowääh 2,35
And While We Were Here,18
Love Is in the Air,"35,10749"
Welcome Mr. President!,35
I'm So Excited!,35
Pleasure or Pain,"18,53"
Borgman,"53,18"
Dhoom 3,"28,53"
Metro,"28,53"
This Youth Is Crazy,"35,18,10402,10749"
The Volcano,35
Paris or Perish,35
Scenic Route,"18,53"
Last Passenger,"28,53,9648"
Enough Said,"35,18,10749"
The Unlikely Prince,35
Louis C.K.: Oh My God,35
All Hallows' Eve,27
In Fear,53
Pawn,"80,53"
The Machine,"878,53"
Kevin Hart: Let Me Explain,"35,99"
Jug Face,"27,53,18"
Cheap Thrills,"35,80,18"
Night Train to Lisbon,"9648,10749,53"
Fuga di cervelli,35
Justin Bieber: Believe,"99,10402"
Frequencies,"10749,878,9648"
Hateship Loveship,18
Penthouse North,"53,18"
Panic in the Mailroom,"16,35,10751,878"
Hansel and Gretel Get Baked,"27,35"
Chennai Express,"10749,35,28"
The Blue Umbrella,"16,10749"
Josephine,"10749,35"
Mystery Road,"53,80,9648"
The Last Days,"878,12,53"
Miss Violence,18
Mood Indigo,"18,14"
Wer,"27,9648,53"
Lights Out,27
Sound City,"99,10402"
Still Life,18
Goliyon Ki Raasleela Ram-Leela,"18,10402,10749"
ABCD: American-Born Confused Desi,35
The Harvest,"27,53"
The Right Kind of Wrong,"10749,35"
Hope,18
The Big Bad Wolf,"35,10751,10749"
Queen,"35,18"
Raze,"27,53"
Pawn Shop Chronicles,"28,35"
A Teacher,18
Iron Man & Hulk: Heroes United,"28,12,16,10751"
Bhaag Milkha Bhaag,"36,28,18"
One Piece: Episode of Luffy - Hand Island Adventure,"28,16,12,35,18"
It's a Disaster,35
No Half Measures: Creating the Final Season of Breaking Bad,99
Angelique,"12,10749"
An Adventure in Space and Time,18
Remember Sunday,"10770,10749,18"
The Berlin File,"28,53"
The Terror Live,"28,53"
Family Weekend,"35,18"
Banshee Chapter,"27,53"
The Returned,"27,53,18"
Enemies Closer,"53,28"
Terms and Conditions May Apply,99
Temptation: Confessions of a Marriage Counselor,18
Another Me,"53,9648"
The Brats,35
A Night in Old Mexico,18
Particle Fever,99
Lovestruck: The Musical,"35,14,10749"
Un fantastico via vai,35
Return to Nim's Island,"10751,12"
Sweetwater,"37,53"
Willow Creek,"12,27,9648,53"
The Pirate Bay: Away from Keyboard,99
The French Minister,35
I'll Follow You Down,"878,18,9648"
Vive la France,35
The Attorney,"36,18"
Magic Magic,53
16 Ans ou Presque,35
Ammutta muddica al cinema,35
Battle of the Damned,"28,878,12"
Crystal Fairy & the Magical Cactus,"35,12"
Turning Tide,"12,18"
Hwayi: A Monster Boy,"28,53"
Till Luck Do Us Part 2,35
Jan Dara: The Finale,"18,10749"
Hansel & Gretel,27
Run Boy Run,"18,10752"
Dirty Wars,"99,18,80"
Castello Cavalcanti,35
Three Many Weddings,35
American Dreams in China,18
Madras Cafe,"53,18,28"
Touchy Feely,18
Cycling with Molière,"18,35"
Whiplash,"18,10402"
Stranded,"27,878"
One Small Hitch,"10749,35"
The Borderlands,27
We Are the Best!,"18,10402"
The Thirteenth Tale,"10770,18"
Generation Iron,99
Escape from Tomorrow,"27,14"
1,99
The Square,"99,18,36"
Long Live Freedom,18
Ghost Shark,"27,878"
LEGO Marvel Super Heroes: Maximum Overload,"28,16,35,10751"
Force of Execution,"28,80"
Ghost in the Shell Arise - Border 2: Ghost Whispers,"28,16,878,53"
Inequality for All,99
A Five Star Life,"10749,18"
Meu Passado me Condena,35
The Devil's Violinist,18
We Steal Secrets: The Story of WikiLeaks,99
Pete's Christmas,"14,10751"
Crazy Me,35
Geography Club,"35,18,10749"
Le Week-End,"35,18"
Brazilian Western,"80,18,37,10749"
Pokémon the Movie: Genesect and the Legend Awakened,"28,12,16,10751"
Thesis on a Homicide,"9648,53,80"
The Kingdom of Dreams and Madness,99
InAPPropriate Comedy,35
David Blaine: Real or Magic,99
Commitment,"18,28,53"
It Happened in Saint-Tropez,"35,18"
The Smurfs: The Legend of Smurfy Hollow,"35,16,10751,14"
Tim's Vermeer,99
CBGB,"18,10402"
Fonzy,35
Nothing Left to Fear,27
Les Petits princes,"35,18"
Goodbye World,"18,35"
Rigor Mortis,"27,28,18"
Colpi di fortuna,35
Moebius,18
Company of Heroes,"10752,18"
Pee Mak Phrakanong,"35,10749"
Paradise: Hope,18
anohana: The Flower We Saw That Day - The Movie,"16,18"
Phineas and Ferb: Mission Marvel,"28,12,878"
The Wolverine,"28,878,12,14"
Beneath,27
My Little Pony: Equestria Girls,"16,35,10751,14,10402"
Pas Très Normales Activités,35
Playing Dead,35
Montage,53
Suzanne,18
Dream 9 Toriko & One Piece & Dragon Ball Z Super Collaboration Special!!,"28,12,35,14,16"
Marius,18
Special 26,"80,18,53"
The Ultimate Accessory,35
Not Another Happy Ending,"10749,35,18"
Scooby-Doo! Stage Fright,"10751,12,16"
Blood Glacier,27
Aziz Ansari: Buried Alive,35
Vai Que Dá Certo,35
Puella Magi Madoka Magica the Movie Part III: Rebellion,"9648,16,14"
A Promise,"18,10749"
"Hello, My Dolly Girlfriend",18
Breaking the Girls,"80,53"
Green Street Hooligans: Underground,"28,18"
Detective Conan: Private Eye in the Distant Sea,"28,16,18"
Bo Burnham: What.,35
Concussion,18
Someone's Gaze,"16,18,878"
Age of Dinosaurs,"28,878"
13 Eerie,"27,53"
Cannibal,53
Living Is Easy with Eyes Closed,"18,35"
The Art of Happiness,"16,18"
Max,"35,10749"
The Dance of Reality,"18,14"
Badges of Fury,"35,28,80"
We're So Young,"18,10402"
Kidon,35
Special ID,"18,28,80"
Hard to Be a God,"18,878"
Song 'e napule,
Universitari - Molto più che amici,
Raanjhanaa,"18,10749"
The Five(ish) Doctors Reboot,
The Real Life of Teachers,35
Plush,53
The Firefly,"18,14,10749"
Bayonetta: Bloody Fate,"28,14,16"
Skinwalker Ranch,"53,27,878"
Computer Chess,35
The Suspect,"28,53"
Straight A's,"35,18"
Metro Manila,"80,53,18,28"
"Secretly, Greatly","28,18,35"
The German Doctor,"18,53"
Death Billiards,"16,18,9648"
Fir Crazy,"35,10749,10770"
Finding Mr. Right,"35,10749"
A Thousand Times Good Night,18
Antboy,"35,12,10751"
Sexy Evil Genius,"35,18,9648"
Grand Central,"18,10749"
The Strange Color of Your Body's Tears,"9648,53,27"
A Small Southern Enterprise,35
Guardians of the Galaxy,"28,878,12"
The Hobbit: The Battle of the Five Armies,"28,12,14"
Interstellar,"12,18,878"
John Wick,"28,53"
The Imitation Game,"36,18,53,10752"
